model,asset,horizon,n_predictions,MAE,RMSE,MAPE,R2,Directional_Accuracy
ARIMA,BTC,1,549,1029.5,1567.23,1.77,0.994,48.63
LSTM,BTC,1,549,5591.4,7562.49,8.75,0.8593,50.09
TFT_LOG_RETURN,BTC,1,549,1070.72,1629.44,1.84,0.9935,49.73
ARIMA,BTC,7,543,2845.4,4061.44,4.93,0.9592,49.54
LSTM,BTC,7,543,9613.03,12000.61,16.59,0.6439,51.57
TFT_LOG_RETURN,BTC,7,543,4342.21,5961.05,7.64,0.9121,43.09
ARIMA,BTC,30,520,6718.69,9436.64,11.33,0.7738,54.04
LSTM,BTC,30,520,13218.08,17537.82,20.73,0.2189,35.38
TFT_LOG_RETURN,BTC,30,520,11130.91,14841.53,17.99,0.4406,42.88
ARIMA,ETH,1,549,58.69,88.83,2.1,0.9842,50.82
LSTM,ETH,1,549,192.19,258.41,7.15,0.8666,53.19
TFT_LOG_RETURN,ETH,1,549,59.73,90.17,2.14,0.9838,49.18
ARIMA,ETH,7,543,169.73,238.99,6.04,0.8858,50.64
LSTM,ETH,7,543,599.68,771.0,21.89,-0.1886,52.67
TFT_LOG_RETURN,ETH,7,543,235.29,322.09,8.52,0.7926,45.49
ARIMA,ETH,30,520,360.63,483.91,12.44,0.5269,50.19
LSTM,ETH,30,520,625.63,801.36,22.8,-0.2973,51.54
TFT_LOG_RETURN,ETH,30,520,581.55,749.1,20.34,-0.1337,54.81
ARIMA,BNB,1,549,9.12,14.55,1.94,0.9929,52.09
LSTM,BNB,1,549,22.57,27.38,6.46,0.9747,54.1
TFT_LOG_RETURN,BNB,1,549,9.19,14.52,1.95,0.9929,48.09
ARIMA,BNB,7,543,25.15,36.76,5.3,0.9543,51.57
LSTM,BNB,7,543,59.74,68.98,17.07,0.839,55.62
TFT_LOG_RETURN,BNB,7,543,33.42,50.11,7.04,0.915,51.2
ARIMA,BNB,30,520,44.09,68.03,9.57,0.8406,52.12
LSTM,BNB,30,520,47.34,60.85,11.01,0.8725,53.85
TFT_LOG_RETURN,BNB,30,520,89.46,113.54,18.48,0.5561,46.15
